title_name,company_name,location,summary,post_day,rating,salary,jobs_type
newBI Analytics Manager,WELLS FARGO BANK,"Addison, TX","Knowledge and understanding of data organizing or structuring complex data across varied data sources.Work with clients to define issues and information needs…View all WELLS FARGO BANK jobs in Addison, TX - Addison jobsSalary Search: BI Analytics Manager salariesSee popular questions & answers about WELLS FARGO BANK",5 days ago,3.7,,Full-time
newComputer Vision/Machine Learning Engineer (FT),Edgetensor Technologies,"Dallas, TX","Excellent C++11/14 coding skills with best practices, knowledge of STL library and features, data structures, programming pattern, experience with debugging and…View all Edgetensor Technologies jobs in Dallas, TX - Dallas jobsSalary Search: Computer Vision/Machine Learning Engineer (FT) salaries in Dallas, TX",2 days ago,,"$90,000 - $140,000 a year","$90,000 - $140,000 a year"
Senior Data Analyst,Fannie Mae,"Plano, TX","As a valued contributor to our team, you will work within the team to manage MI processes, assess operational risks, and coordinate tactical execution and day…View all Fannie Mae jobs in Plano, TX - Plano jobsSalary Search: Senior Data Analyst salaries in Plano, TXSee popular questions & answers about Fannie Mae",30+ days ago,4.0,,Full-time
Principal Data Scientist,Equinix,"Frisco, TX","5+ experience as data scientist working on various data science projects.Accountable for end-to-end data science related project(s).View all Equinix jobs in Frisco, TX - Frisco jobsSalary Search: Principal Data Scientist salariesSee popular questions & answers about Equinix",30+ days ago,3.7,,Full-time
Risk Analyst,Tricolor Auto Group,"Dallas, TX","Collaborates with data science and IT team to timely carryout the tasks at hand.Aggregate data from multiple sources to provide a comprehensive assessment.View all Tricolor Auto Group jobs in Dallas, TX - Dallas jobsSalary Search: Risk Analyst salaries in Dallas, TXSee popular questions & answers about Tricolor Auto Group",13 days ago,3.7,,
Data Analytics,Pramira Inc,"Frisco, TX","Analyze data in support of process improvement initiatives.Proactively analyze data for insights that can provide greater value to the reporting framework.View all Pramira Inc jobs in Frisco, TX - Frisco jobs",21 days ago,,,
"newExperience Designer, Capital One Data Insights",Capital One - US,"Plano, TX","Comfortable tackling ambiguous/nebulous challenges in complex areas - preferably in a regulated industry such as data science or finance.View all Capital One - US jobs in Plano, TX - Plano jobsSalary Search: Experience Designer, Capital One Data Insights salaries in Plano, TXSee popular questions & answers about Capital One - US",6 days ago,3.9,,
"Senior Data Scientist, Marketing & Customer",Toyota,"Remote in Plano, TX 75023 75023","Collaborate with other data scientists/data science teams at Toyota to use shared platforms, enterprise standards, best practices to deliver insights and…View all Toyota jobs in Plano, TX - Plano jobsSalary Search: Senior Data Scientist, Marketing & Customer salaries in Plano, TXSee popular questions & answers about Toyota",29 days ago,4.0,,
Senior Program Manager,Microsoft,"Dallas, TX","This should help us win lighthouse deals that pull in not just Power BI, but other elements of the Microsoft BI and data stack.View all Microsoft jobs in Dallas, TX - Dallas jobsSalary Search: Senior Program Manager salaries in Dallas, TXSee popular questions & answers about Microsoft",30+ days ago,4.2,,Full-time
Senior Provider Data Analyst - Telecommute,UnitedHealth Group,"Remote in Richardson, TX 75081 75081","Assist in audits and data quality improvement initiatives.Knowledge and/or experience with provider data.Help manage provider data and maintain and improve…View all UnitedHealth Group jobs in Richardson, TX - Richardson jobsSalary Search: Senior Provider Data Analyst - Telecommute salaries in Richardson, TXSee popular questions & answers about UnitedHealth Group",15 days ago,3.6,,Full-time
Senior Data Analyst,"JPMorgan Chase Bank, N.A.","Plano, TX","Provide analysis and associated data visualization and story-telling.You'll have a passion for data visualization and deep analytical understanding.View all JPMorgan Chase Bank, N.A. jobs in Plano, TX - Plano jobsSalary Search: Senior Data Analyst salaries in Plano, TXSee popular questions & answers about JPMorgan Chase Bank, N.A.",23 days ago,3.9,,Full-time
Data Scientist,Alagar,"Plano, TX 75025 75025","Part of your job will be to evangelize analytics and help educate our clients in the field of data science.We will consider you if you have an advanced degree…View all Alagar jobs in Plano, TX - Plano jobsSalary Search: Data Scientist salaries in Plano, TX",30+ days ago,,,
newData Scientist (Strategic Pricing),Essilor,"Dallas, TX","Use analytics and data mining to conduct detailed analysis to support strategic pricing initiatives.Work with the Business Systems team to increase the…View all Essilor jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist (Strategic Pricing) salaries in Dallas, TXSee popular questions & answers about Essilor",5 days ago,3.7,,
Machine Learning Engineer,Kinetix Trading Solutions Inc,"Irving, TX 75039 75039","× Perform Data cleansing / transformation, feature engineering, apply statistical analysis, data visualization, data mining.View all Kinetix Trading Solutions Inc jobs in Irving, TX - Irving jobsSalary Search: Machine Learning Engineer salaries in Irving, TX",30+ days ago,,,
Principal Data Analytics,AT&T,"Dallas, TX","While maintaining a healthy data and analytics culture, we are also responsible for enabling various business units across AT&T with data, insights and BI…View all AT&T jobs in Dallas, TX - Dallas jobsSalary Search: Principal Data Analytics salariesSee popular questions & answers about AT&T",30+ days ago,3.7,,Full-time
Technical Fraud Analyst,Alto Experience,"Dallas, TX","Experience producing tabular and dashboard based views of data and interpreting needs to come up with the appropriate representation of data based on the…View all Alto Experience jobs in Dallas, TX - Dallas jobsSalary Search: Technical Fraud Analyst salaries in Dallas, TXSee popular questions & answers about Alto Experience",30+ days ago,4.0,,
newSr. Systems Engineer - Streaming Data Analytics,L3Harris Technologies,"Rockwall, TX","Develop data fusion white papers and technical presentations.You'll also conduct research, studies, and experimentation of an advanced distributed data and…View all L3Harris Technologies jobs in Rockwall, TX - Rockwall jobsSalary Search: Sr. Systems Engineer - Streaming Data Analytics salariesSee popular questions & answers about L3Harris Technologies",1 day ago,3.7,,
newComputer Vision/Machine Learning Engineer (FT),Edgetensor Technologies,"Dallas, TX","Excellent C++11/14 coding skills with best practices, knowledge of STL library and features, data structures, programming pattern, experience with debugging and…View all Edgetensor Technologies jobs in Dallas, TX - Dallas jobsSalary Search: Computer Vision/Machine Learning Engineer (FT) salaries in Dallas, TX",2 days ago,,"$90,000 - $140,000 a year","$90,000 - $140,000 a year"
Data Science Consultant,Artis Consulting,"Hybrid remote in Richardson, TX 75082 75082","As a Data Science Consultant, you will be responsible for assisting our clients envision, design and deploy Machine Learning and Artificial Intelligence…View all Artis Consulting jobs in Richardson, TX - Richardson jobsSalary Search: Data Science Consultant salaries in Richardson, TX",30+ days ago,,,
newLead Data Scientist - Wildfire Prevention,Logic20/20 Inc.,"Dallas, TX","2+ years leading a data science team and delivering a project.Collaborate with other data scientists and stakeholders on projects.Knowledge of AWS and Spark.View all Logic20/20 Inc. jobs in Dallas, TX - Dallas jobsSalary Search: Lead Data Scientist - Wildfire Prevention salaries in Dallas, TXSee popular questions & answers about Logic20/20 Inc.",Today,3.6,,
Cloud Support Engineer I - Artificial Intelligence/Machine L...,"Amazon Web Services, Inc.","Dallas, TX+23 locations","Experience with data preparation techniques for training.Understanding Machine Learning concepts, such as common ML algorithms and their uses and data…View all Amazon Web Services, Inc. jobs in Dallas, TX - Dallas jobsSalary Search: Cloud Support Engineer I - Artificial Intelligence/Machine Learning salaries in Dallas, TXSee popular questions & answers about Amazon Web Services, Inc.",30+ days ago,3.5,,Full-time
"Analyst I, Statistical (226 Days) REVISED",Dallas Independent School District,"Dallas, TX","Provide data support for the schools and central staff from the data platforms.Knowledge and/or experience with statistics and data reporting.View all Dallas Independent School District jobs in Dallas, TX - Dallas jobsSalary Search: Analyst I, Statistical (226 Days) REVISED salaries in Dallas, TXSee popular questions & answers about Dallas Independent School District",30+ days ago,3.6,"$76,031 a year","$76,031 a year"
Advanced Analytics Translator,Coca-Cola Southwest Beverages,"Dallas, TX 75240 75240","Work with data engineers and data scientists to understand data requirements and problem solve on best practice data structures.View all Coca-Cola Southwest Beverages jobs in Dallas, TX - Dallas jobsSalary Search: Advanced Analytics Translator salaries in Dallas, TXSee popular questions & answers about Coca-Cola Southwest Beverages",10 days ago,3.0,,
Data Science Engineer,Codvo.ai,"Dallas, TX","Collaborate with product teams, data analysts and data scientists to design and build data-forward solutions.Own the quality of modules being delivered, insure…View all Codvo.ai jobs in Dallas, TX - Dallas jobsSalary Search: Data Science Engineer salaries in Dallas, TX",30+ days ago,,,
"Director, Data Science (Remote)",Epsilon,"Remote in Irving, TX 75039 75039","Work with the team who analyze complex data structure, manipulate, cleanse data and perform statistical analysis.MS Azure and ADF is preferred.View all Epsilon jobs in Irving, TX - Irving jobsSalary Search: Director, Data Science (Remote) salaries in Irving, TXSee popular questions & answers about Epsilon",30+ days ago,3.4,,
Converge - Machine Learning Engineer,Deloitte,"Dallas, TX 75201 75201 (Downtown area)+22 locations","Transform data science prototypes into production grade code with appropriate guardrails.Deep understanding of data science principles, including machine…View all Deloitte jobs in Dallas, TX - Dallas jobsSalary Search: Converge - Machine Learning Engineer salaries in Dallas, TXSee popular questions & answers about Deloitte",30+ days ago,4.0,,Full-time
"Data Scientist, Staff / Manager",LTK USA,"Remote in Dallas, TX","Experience working on a remote team and coaching / mentoring / leading data science team members required.Master's degree in mathematics, computer science, or…View all LTK USA jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist, Staff / Manager salaries in Dallas, TX",15 days ago,,,
"newPrincipal Statistical Programmer, FSP (Remote)",Labcorp,"Remote in Dallas, TX","Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects.View all Labcorp jobs in Dallas, TX - Dallas jobsSalary Search: Principal Statistical Programmer, FSP (Remote) salaries in Dallas, TXSee popular questions & answers about Labcorp",Today,3.4,,Full-time
"Staff Software Engineer, Data Engineer, Global Engineering",Bain & Company,"Dallas, TX 75202 75202 (Downtown area)","Enable data and technology for data science, analytics, and other application use cases via data engineering.Build scalable data engineering infrastructure and…View all Bain & Company jobs in Dallas, TX - Dallas jobsSalary Search: Staff Software Engineer, Data Engineer, Global Engineering salaries in Dallas, TXSee popular questions & answers about Bain & Company",30 days ago,4.3,,
Senior Data Scientist,Juul Labs,"Remote in Dallas, TX","Proficiency in advanced SQL, data modeling and ETL.Experience with machine learning and data science methodologies is mandatory (Regression, Time Series,…View all Juul Labs jobs in Dallas, TX - Dallas jobsSalary Search: Senior Data Scientist salaries in Dallas, TXSee popular questions & answers about Juul Labs",30+ days ago,3.1,,Full-time
Machine Learning Engineer,American Nexus Trading Inc,"Irving, TX","Strong hands-on development in Python, focused on data science (ScikitLearn, ScikitImage, OpenCV, PyTesseract).Deploy machine learning models to production.View all American Nexus Trading Inc jobs in Irving, TX - Irving jobsSalary Search: Machine Learning Engineer salaries in Irving, TX",Active 2 days ago,,,Part-time +2
Principal Data Scientist,Equinix,"Frisco, TX","5+ experience as data scientist working on various data science projects.Accountable for end-to-end data science related project(s).View all Equinix jobs in Frisco, TX - Frisco jobsSalary Search: Principal Data Scientist salariesSee popular questions & answers about Equinix",30+ days ago,3.7,,Full-time
newData Scientist,The Denzel Group,"Dallas, TX","Experience executing solutions to business problems using advanced statistics, testing methods, data analysis, data mining, predictive modeling, optimization,…",1 day ago,,,Full-time
"Ops Manager, AWS Dallas","Amazon Web Services, Inc.","Dallas, TX","Ability to analyze and leverage data and metrics driven focus, both qualitative and quantitative.Bachelor’s degree in Information Science / Information…View all Amazon Web Services, Inc. jobs in Dallas, TX - Dallas jobsSalary Search: Ops Manager, AWS Dallas salaries in Dallas, TXSee popular questions & answers about Amazon Web Services, Inc.",30+ days ago,3.5,,Full-time
Data Science Lead - North America,Acceleration,"Dallas, TX 75202 75202 (Downtown area)","Supervise the technical direction of data science projects.Translate data science outputs and insights to technical and non-technical audiences.View all Acceleration jobs in Dallas, TX - Dallas jobsSalary Search: Data Science Lead - North America salaries in Dallas, TX",30+ days ago,,,
"Staff Software Engineer, Data Engineer, Global Engineering",Bain & Company,"Dallas, TX 75202 75202 (Downtown area)","Enable data and technology for data science, analytics, and other application use cases via data engineering.Build scalable data engineering infrastructure and…View all Bain & Company jobs in Dallas, TX - Dallas jobsSalary Search: Staff Software Engineer, Data Engineer, Global Engineering salaries in Dallas, TXSee popular questions & answers about Bain & Company",30 days ago,4.3,,Full-time
"Artificial Intelligence, Consultant - Applied Artificial Int...",Deloitte,"Dallas, TX 75201 75201 (Downtown area)","Perform data studies and data discovery routines for video, voice, weblog, sensor, machine and social media data sources or mash ups of new and existing data…View all Deloitte jobs in Dallas, TX - Dallas jobsSalary Search: Artificial Intelligence, Consultant - Applied Artificial Intelligence salaries in Dallas, TXSee popular questions & answers about Deloitte",30+ days ago,4.0,,Full-time
Data Analyst,OPEX Corporation,"Plano, TX 75074 75074","Expert Python skills in data cleaning, data wrangling, and data analytics.Familiarity with data visualization tools like Tableau.View all OPEX Corporation jobs in Plano, TX - Plano jobsSalary Search: Data Analyst salaries in Plano, TXSee popular questions & answers about OPEX Corporation",30+ days ago,3.5,,Full-time
newPerformance Assurance Engineer RF + Data Analytics,GTA (Global Technology Associates),"Plano, TX","Demonstrate ability to analyze and interpret a mix of qualitative and quantitative data using various data sources, construct compelling narratives, and provide…View all GTA (Global Technology Associates) jobs in Plano, TX - Plano jobsSalary Search: Performance Assurance Engineer RF + Data Analytics salaries in Plano, TX",Active 2 days ago,,,Full-time +1
Advanced Analytics Translator,Coca-Cola Southwest Beverages,"Dallas, TX 75240 75240","Work with data engineers and data scientists to understand data requirements and problem solve on best practice data structures.View all Coca-Cola Southwest Beverages jobs in Dallas, TX - Dallas jobsSalary Search: Advanced Analytics Translator salaries in Dallas, TXSee popular questions & answers about Coca-Cola Southwest Beverages",10 days ago,3.0,,
"Data Scientist, Staff / Manager",LTK USA,"Remote in Dallas, TX","Experience working on a remote team and coaching / mentoring / leading data science team members required.Master's degree in mathematics, computer science, or…View all LTK USA jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist, Staff / Manager salaries in Dallas, TX",15 days ago,,,
"newSenior Director, Marketing Analytics - Opportunity for Worki...",VMware,"Dallas, TX","Maintain a strong partnership and working knowledge of the data management, data sciences, “big data”, and customer experience space to keep current of industry…View all VMware jobs in Dallas, TX - Dallas jobsSalary Search: Senior Director, Marketing Analytics - Opportunity for Working Remotely Dallas, TX salaries in Dallas, TXSee popular questions & answers about VMware",2 days ago,4.1,,Full-time
Lead Principal Data Scientist - Network Planning for Airline...,Amadeus,"Dallas, TX","Computing: object-oriented programming, data structures, algorithms, big data technologies.You will work on data analysis, data mining, and statistical…View all Amadeus jobs in Dallas, TX - Dallas jobsSalary Search: Lead Principal Data Scientist - Network Planning for Airlines salaries in Dallas, TX",25 days ago,3.9,,
"Senior Big Data Infrastructure Engineer, HD Map","TuSimple, Inc.","Temporarily Remote in Dallas, TX",Develop data infrastructure and framework for processing data at a very large scale.HD Map data is the major offline data on a running autonomous driving…,30+ days ago,2.2,,
Senior Product Data Scientist,Lucid,"Remote in Dallas, TX","Must have minimum 3-5 years working experience in data science capacity.The ideal candidate for this role will have 3-5+ years of hands-on professional data…View all Lucid jobs in Dallas, TX - Dallas jobsSalary Search: Senior Product Data Scientist salaries in Dallas, TXSee popular questions & answers about Lucid",30+ days ago,3.0,,Full-time
Data Insights and Strategy Manager,Verizon,"Irving, TX 75038 75038+1 location","Provide thought leadership to complex problems, mentor digital warriors, data scientists, and data engineers, and provide advanced expertise to adopt data…View all Verizon jobs in Irving, TX - Irving jobsSalary Search: Data Insights and Strategy Manager salaries in Irving, TXSee popular questions & answers about Verizon",21 days ago,3.9,,Full-time
Simulation Data Scientist,Recruiting From Scratch,"Remote in Frisco, TX 75034 75034+5 locations","Build data models and visualizations of public blockchain data and simulation results that provide intuitive analytics to customers.View all Recruiting From Scratch jobs in Frisco, TX - Frisco jobsSalary Search: Simulation Data Scientist salaries in Frisco, TX",30+ days ago,,,
Data Engineer,Wunderman Thompson,"Dallas, TX","Strong experience in building data pipeline in cloud, data integration, data processing, data standardization, data mining/wrangling.View all Wunderman Thompson jobs in Dallas, TX - Dallas jobsSalary Search: Data Engineer salaries in Dallas, TX",30+ days ago,3.8,,
newBusiness Analyst,"Analytical Mechanics Associates, Inc.","Dallas, TX","2+ years of data visualization experience.Hands-on SQL skills for pulling analysis data from diverse sources.Advanced skills in MS Office:View all Analytical Mechanics Associates, Inc. jobs in Dallas, TX - Dallas jobsSalary Search: Business Analyst salaries in Dallas, TX",1 day ago,,,Full-time
Payer Insights & Innovation Manager (Analytics/Data Science)...,Conifer Health Solutions,"Remote in Frisco, TX","Fluent in data fundamentals: SQL, data manipulation and modeling, statistics, and data science concepts.Advanced ability to gather and analyze complex data,…View all Conifer Health Solutions jobs in Frisco, TX - Frisco jobsSalary Search: Payer Insights & Innovation Manager (Analytics/Data Science) - Remote salaries in Frisco, TXSee popular questions & answers about Conifer Health Solutions",30+ days ago,3.7,,Full-time
"Deals Tech & Data, Solution Architecture - Sr. Associate",PRICE WATERHOUSE COOPERS,"Dallas, TX 75201 75201 (Downtown area)","Possesses experience working as a solutions architect, technical product manager, software engineer or frontend/backend web developer for data products or web…View all PRICE WATERHOUSE COOPERS jobs in Dallas, TX - Dallas jobsSalary Search: Deals Tech & Data, Solution Architecture - Sr. Associate salaries in Dallas, TXSee popular questions & answers about PRICE WATERHOUSE COOPERS",30+ days ago,4.0,,
newHead of Data Visualization and Storytelling (Vice President),"JPMorgan Chase Bank, N.A.","Plano, TX","As the Head of Human Resources Data Visualization and Storytelling, you will direct the visual presentation of HR Data and Analytics' business insights and…View all JPMorgan Chase Bank, N.A. jobs in Plano, TX - Plano jobsSalary Search: Head of Data Visualization and Storytelling (Vice President) salariesSee popular questions & answers about JPMorgan Chase Bank, N.A.",5 days ago,3.9,,Full-time
Technology Resiliency Analyst,"JPMorgan Chase Bank, N.A.","Plano, TX","Assist application teams with coordination of data related resiliency test events and tasks.Uphold expectations for the team and business partners to meet FBR…View all JPMorgan Chase Bank, N.A. jobs in Plano, TX - Plano jobsSalary Search: Technology Resiliency Analyst salaries in Plano, TXSee popular questions & answers about JPMorgan Chase Bank, N.A.",21 days ago,3.9,,Full-time
Big Data Full Stack Engineer,Toyota,"Remote in Plano, TX 75023 75023","Demonstrated experience in developing Big data solutions that support business analytics and data science teams.AWS/GCP Data Engineering certifications.View all Toyota jobs in Plano, TX - Plano jobsSalary Search: Big Data Full Stack Engineer salaries in Plano, TXSee popular questions & answers about Toyota",30+ days ago,4.0,,
Lead Software Engineer- Data & Analytics,WELLS FARGO BANK,"Addison, TX+1 location","Partner with Enterprise data teams and Line of Business partners on customer-centric view of the data, data reuse, and data consistency across all customer…View all WELLS FARGO BANK jobs in Addison, TX - Addison jobsSalary Search: Lead Software Engineer- Data & Analytics salaries in Addison, TXSee popular questions & answers about WELLS FARGO BANK",28 days ago,3.7,,Full-time
Senior Data Science Engineer,Exeter Finance LLC,"Irving, TX","Experience working with large datasets and performing complex data manipulations using R or Python.Six (6) plus years of experience using SQL Server or other…View all Exeter Finance LLC jobs in Irving, TX - Irving jobsSalary Search: Senior Data Science Engineer salaries in Irving, TXSee popular questions & answers about Exeter Finance LLC",29 days ago,3.3,,Full-time
newPricing Analyst,Master Halco,"Dallas, TX","Advanced skills in Microsoft Excel including VBA/Macro, as well as SQL and Microsoft Access to handle a lot of mass data.View all Master Halco jobs in Dallas, TX - Dallas jobsSalary Search: Pricing Analyst salaries in Dallas, TXSee popular questions & answers about Master Halco",4 days ago,3.3,,Full-time
Lead Principal Data Scientist - Network Planning for Airline...,Amadeus,"Dallas, TX","Computing: object-oriented programming, data structures, algorithms, big data technologies.You will work on data analysis, data mining, and statistical…View all Amadeus jobs in Dallas, TX - Dallas jobsSalary Search: Lead Principal Data Scientist - Network Planning for Airlines salaries in Dallas, TX",25 days ago,3.9,,
Senior BI Analyst,EPMA,"Remote in Dallas, TX","Our Financial Services Client is looking for Senior BI Analyst.Duration -12-18 Months of Contract.3-5 years of Experience as a BI Analyst.View all EPMA jobs in Dallas, TX - Dallas jobsSalary Search: Senior BI Analyst salaries in Dallas, TXSee popular questions & answers about EPMA",12 days ago,3.4,,Full-time
newSenior Data Engineer/Scientist – AWS Glue,Fannie Mae,"Plano, TX","Demonstrates innovative practices to stream data from different producers into a data lake.Guide the design, development, deployment and management highly…View all Fannie Mae jobs in Plano, TX - Plano jobsSalary Search: Senior Data Engineer/Scientist – AWS Glue salaries in Plano, TXSee popular questions & answers about Fannie Mae",4 days ago,4.0,,Full-time
Machine Learning Engineer,TRUST TECHNOLOGIES LLC,"Irving, TX","Design and implement conversational AI ML models, chat bots and Natural Language Processing (NLP).Experience in Python and Data Analytics.View all TRUST TECHNOLOGIES LLC jobs in Irving, TX - Irving jobsSalary Search: Machine Learning Engineer salaries in Irving, TX",30+ days ago,,"$91,130 - $118,874 a year","$91,130 - $118,874 a year"
Senior Data Science Engineer,Exeter Finance LLC,"Irving, TX","Experience working with large datasets and performing complex data manipulations using R or Python.Six (6) plus years of experience using SQL Server or other…View all Exeter Finance LLC jobs in Irving, TX - Irving jobsSalary Search: Senior Data Science Engineer salaries in Irving, TXSee popular questions & answers about Exeter Finance LLC",29 days ago,3.3,,
Data Engineer,Wunderman Thompson,"Dallas, TX","Strong experience in building data pipeline in cloud, data integration, data processing, data standardization, data mining/wrangling.View all Wunderman Thompson jobs in Dallas, TX - Dallas jobsSalary Search: Data Engineer salaries in Dallas, TX",30+ days ago,3.8,,
newLead Data Scientist - Wildfire Prevention,Logic20/20 Inc.,"Dallas, TX","2+ years leading a data science team and delivering a project.Collaborate with other data scientists and stakeholders on projects.Knowledge of AWS and Spark.View all Logic20/20 Inc. jobs in Dallas, TX - Dallas jobsSalary Search: Lead Data Scientist - Wildfire Prevention salaries in Dallas, TXSee popular questions & answers about Logic20/20 Inc.",Today,3.6,,
Data Analyst Lead,Christus Health,"Irving, TX 75038 75038 (Cottonwood area)","Participates in development of standards, design and implementation of proactive processes to collect and report data and statistics on assigned systems.View all Christus Health jobs in Irving, TX - Irving jobsSalary Search: Data Analyst Lead salaries in Irving, TXSee popular questions & answers about Christus Health",30+ days ago,3.7,,Full-time
Quantitative Analytics Specialist - AI and Machine Learning,WELLS FARGO BANK,"Addison, TX+3 locations","Master's degree or higher in statistics, mathematics, physics, engineering, computer science, economics, or quantitative field.View all WELLS FARGO BANK jobs in Addison, TX - Addison jobsSalary Search: Quantitative Analytics Specialist - AI and Machine Learning salariesSee popular questions & answers about WELLS FARGO BANK",30+ days ago,3.7,,Full-time
Technology Resiliency Analyst,"JPMorgan Chase Bank, N.A.","Plano, TX","Assist application teams with coordination of data related resiliency test events and tasks.Uphold expectations for the team and business partners to meet FBR…View all JPMorgan Chase Bank, N.A. jobs in Plano, TX - Plano jobsSalary Search: Technology Resiliency Analyst salaries in Plano, TXSee popular questions & answers about JPMorgan Chase Bank, N.A.",21 days ago,3.9,,Full-time
AI Engineer,Deloitte,"Dallas, TX 75201 75201 (Downtown area)+1 location","Deep interest in data science and software development.3+ years of experience authoring, supporting, or providing a data science platform to data scientists:View all Deloitte jobs in Dallas, TX - Dallas jobsSalary Search: AI Engineer salaries in Dallas, TXSee popular questions & answers about Deloitte",30+ days ago,4.0,,Full-time
Data Scientist - Pricing Analytics - 100% REMOTE,Matlen Silver,Remote in Texas,"4+ years of experience in data science.Demonstrated experience in predictive modeling, data mining and data analysis.Must be eighteen years of age or older.",12 days ago,3.3,"$125,000 a year","$125,000 a year"
Data Scientist/Machine Learning Engineer - Sr. Associate,PRICE WATERHOUSE COOPERS,"Remote in Dallas, TX 75201 75201","Possesses considerable knowledge about data science concepts and principles;Demonstrates thorough abilities and/or a proven record of success in translating…View all PRICE WATERHOUSE COOPERS jobs in Dallas, TX - Dallas jobsSalary Search: Data Scientist/Machine Learning Engineer - Sr. Associate salaries in Dallas, TXSee popular questions & answers about PRICE WATERHOUSE COOPERS",28 days ago,4.0,,
CWM - Marcus by Goldman Sachs - Checking Fraud - Associate -...,Goldman Sachs,"Richardson, TX 75082 75082","Experience with using data science tools (Python, Spark preferred) to solve business problems.The role will involve working closely with product, technology…View all Goldman Sachs jobs in Richardson, TX - Richardson jobsSalary Search: CWM - Marcus by Goldman Sachs - Checking Fraud - Associate - Richardson, TX salaries in Richardson, TXSee popular questions & answers about Goldman Sachs",30+ days ago,4.0,,Full-time
Senior BI Analyst,EPMA,"Remote in Dallas, TX","Our Financial Services Client is looking for Senior BI Analyst.Duration -12-18 Months of Contract.3-5 years of Experience as a BI Analyst.View all EPMA jobs in Dallas, TX - Dallas jobsSalary Search: Senior BI Analyst salaries in Dallas, TXSee popular questions & answers about EPMA",12 days ago,3.4,,
newSenior Quantitative Analytics Specialist - AI and ML Audit,WELLS FARGO BANK,"Addison, TX","Working with other data science teams to identify, gather, retain, and publicize modeling artifacts required for approved and repeatable processes.View all WELLS FARGO BANK jobs in Addison, TX - Addison jobsSalary Search: Senior Quantitative Analytics Specialist - AI and ML Audit salaries in Addison, TXSee popular questions & answers about WELLS FARGO BANK",1 day ago,3.7,,Full-time
Payer Insights & Innovation Manager (Analytics/Data Science)...,Conifer Health Solutions,"Remote in Frisco, TX","Fluent in data fundamentals: SQL, data manipulation and modeling, statistics, and data science concepts.Advanced ability to gather and analyze complex data,…View all Conifer Health Solutions jobs in Frisco, TX - Frisco jobsSalary Search: Payer Insights & Innovation Manager (Analytics/Data Science) - Remote salaries in Frisco, TXSee popular questions & answers about Conifer Health Solutions",30+ days ago,3.7,,Full-time
newSenior Lead Analytics Consultant,WELLS FARGO BANK,"Dallas, TX+3 locations","Knowledge and understanding of structuring complex data across varied sources.Ability to translate and summarize complex data into understandable, actionable…View all WELLS FARGO BANK jobs in Dallas, TX - Dallas jobsSalary Search: Senior Lead Analytics Consultant salaries in Dallas, TXSee popular questions & answers about WELLS FARGO BANK",Just posted,3.7,,Full-time
"Director, Data Science (Remote)",Epsilon,"Remote in Irving, TX 75039 75039","Work with the team who analyze complex data structure, manipulate, cleanse data and perform statistical analysis.MS Azure and ADF is preferred.View all Epsilon jobs in Irving, TX - Irving jobsSalary Search: Director, Data Science (Remote) salaries in Irving, TXSee popular questions & answers about Epsilon",30+ days ago,3.4,,Full-time
Machine Learning Engineer,CVS Health,"Irving, TX 75039 75039 (Cottonwood area)","Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources.Master’s degree or PhD preferred.View all CVS Health jobs in Irving, TX - Irving jobsSalary Search: Machine Learning Engineer salaries in Irving, TXSee popular questions & answers about CVS Health",30+ days ago,3.2,,
"Data Engineer, Data Engineering",PepsiCo,"Plano, TX+3 locations","Manage and scale data pipelines from internal and external data sources to support new product launches and drive data quality across data products.View all PepsiCo jobs in Plano, TX - Plano jobsSalary Search: Data Engineer, Data Engineering salaries in Plano, TXSee popular questions & answers about PepsiCo",20 days ago,3.8,,Full-time
CW Data Science and Machine Learning Engineer,BEPC Inc,"Plano, TX",2-5 years experience in a data scientist or data analytics role.2-5 years experience in a data scientist or data analytics role.Masters/Phd degree is a plus.,28 days ago,4.3,$53.19 an hour,$53.19 an hour
Sr Data Engineer,T-Mobile,"Frisco, TX 75034 75034","2 years of experience in a data analytics / data science field.Work collaboratively with the team of data engineers, machine learning engineers / data…View all T-Mobile jobs in Frisco, TX - Frisco jobsSalary Search: Sr Data Engineer salaries in Frisco, TXSee popular questions & answers about T-Mobile",30+ days ago,3.8,,Full-time
newLegal Management Data Analytics-Consultant,Crowe,"Dallas, TX 75201 75201","Identifies and researches new trends and tools, understands the data analytics marketplace while working in a dedicated data analytics lab on client engagements…View all Crowe jobs in Dallas, TX - Dallas jobsSalary Search: Legal Management Data Analytics-Consultant salaries in Dallas, TXSee popular questions & answers about Crowe",Today,3.6,,Full-time
2022 Graduate Program – Financial Services Solutions – Busin...,S&P Global,"Dallas, TX+1 location","The ideal candidate possesses a strong interest in problem solving, analysis of data processes, defining and improving product design.View all S&P Global jobs in Dallas, TX - Dallas jobsSalary Search: 2022 Graduate Program – Financial Services Solutions – Business Analyst salaries in Dallas, TXSee popular questions & answers about S&P Global",30+ days ago,3.9,,Full-time
